timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604068725645,2096,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,664856,123,4,4,"https://www.gazeta.pl/0,0.html",182,0,0
1604068726191,2375,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,670368,238,3,3,"https://www.gazeta.pl/0,0.html",214,0,0
1604068726191,214,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,3,3,http://www.gazeta.pl/,214,0,0
1604068726405,2161,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,669911,123,3,3,"https://www.gazeta.pl/0,0.html",211,0,0
1604068726564,2139,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,665312,238,2,2,"https://www.gazeta.pl/0,0.html",89,0,0
1604068726564,89,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,2,2,http://www.gazeta.pl/,89,0,0
1604068726654,2049,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,664855,123,2,2,"https://www.gazeta.pl/0,0.html",127,0,0
1604068727248,1984,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,670367,238,1,1,"https://www.gazeta.pl/0,0.html",65,0,0
1604068727248,65,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,1,1,http://www.gazeta.pl/,65,0,0
1604068727313,1919,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,669910,123,1,1,"https://www.gazeta.pl/0,0.html",189,0,0
